Doc_ID,Hypothesis_ID,Gold_Label,Evidence_Text,Primary_Pattern,Secondary_Patterns,Cue_Words,Evidence_Structure,Divergence_Flag,Confidence,Complexity_Score,Notes
87,nda-16,Entailment,"Upon termination of this Agreement, all Confidential Information in the possession or control of a Participating Entity and its Representatives that received such information shall be returned to the Participating Entity that disclosed the information, including all copies of such information in any form whatsoever, unless otherwise instructed in writing by the Participating Entity that disclosed the information.",P05,"P01, P03, P08",P05=Upon termination of this Agreement; P01=shall be returned; P03=unless otherwise; P08=all Confidential Information|including|in any form whatsoever,Single-span,No divergence,High,4,"The evidence directly states that Confidential Information must be returned upon termination, with a limited exception if otherwise instructed in writing."
87,nda-15,Entailment,This Agreement is not intended to create any right in or obligation of any Participating Entity or third party other than those expressly stated herein.,P01,"P02, P03, P08",P01=not intended to; P02=not intended; P03=other than; P08=any right|third party,Single-span,No divergence,High,4,"The clause denies creation of rights except those expressly stated, which supports the no-licensing/no-rights hypothesis."
87,nda-10,NotMentioned,N/A,P10,"P06, P08",P06=under this Agreement consists of; P08=all information disclosed,None,No divergence,High,3,The contract does not directly prohibit disclosure of the fact that the agreement was agreed or negotiated.
87,nda-2,NotMentioned,N/A,P10,"P06, P08",P06=under this Agreement consists of; P08=any|all information disclosed|all observations,None,Possible divergence,Medium,3,"The contract appears to define Confidential Information broadly, but the dataset marks the technical-only hypothesis as NotMentioned. This should be kept as a review-worthy case. (Point1)"
87,nda-1,NotMentioned,N/A,P10,"P06, P08",P06=under this Agreement consists of; P08=any|all information disclosed|whether disclosed prior,None,Possible divergence,Low,3,"Point 1 defines CI automatically by context, no designation requirement — incompatible with express-identification."
87,nda-19,Entailment,"The provisions of Sections 1, 2, 3, 4, 5 and 6 shall survive the termination of this Agreement for a period of ten (10) years.",P05,"P01, P08",P05=shall survive the termination|for a period of; P01=shall survive; P08=for a period of,Single-span,No divergence,High,3,"The clause directly states that specified provisions survive termination for ten years, supporting survival of obligations."
87,nda-12,NotMentioned,N/A,P10,"P03, P05",P05=prior to the time of disclosure; P03=Notwithstanding|other than,None,No divergence,Low,3,"There may be related exclusion language for information independently developed or previously received, but the dataset provides no direct evidence for a general permission to independently develop similar information. 3(b) exemption covers only pre-disclosure independent development — silent on post-disclosure."
87,nda-20,Entailment,"Notwithstanding anything in this paragraph 6 to the contrary, a Participating Entity may retain a record copy of any Confidential Information if required to do so by applicable law.",P03,"P01, P04, P08",P03=Notwithstanding anything; P01=may retain; P04=if required to; P08=a record copy,Single-span,No divergence,High,4,The clause creates a carve-out from the return/destruction obligation: a Participating Entity may retain a record copy if required by law.
87,nda-3,Entailment,"“Confidential Information” under this Agreement consists of:
---
(iv) all observations of equipment (including computer screens) and oral disclosures related to the development of any Cyber Mutual Assistance Program or a specific request for or response to cyber mutual assistance, including the systems, operations, and activities of each Participating Entity, whether such observations or oral disclosures were made prior to or following the execution of this Agreement.",P06,"P08, P09",P06=under this Agreement consists of; P08=all|related to|including|whether such,Multi-span,No divergence,High,3,The definition of Confidential Information expressly includes oral disclosures. Multiple spans are used because the definition heading and the oral-disclosure item work together.
87,nda-18,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address solicitation of the Disclosing Party's representatives.
87,nda-7,Contradiction,"Each Participating
---
Entity agrees
---
(ii) without the express permission of the Participating Entity providing such information, not to disclose such information to third parties, and",P03,"P01, P02, P07, P09",P03=without the express permission; P02=without|not; P01=not to disclose; P07=third parties;,Multi-span,Possible divergence,Medium,5,"The selected evidence prohibits third-party disclosure without express permission. Because the permission wording creates a limited carve-out, the contradiction label is review-worthy but linguistically defensible."
87,nda-17,NotMentioned,N/A,P10,"P08, P03, P04",P08=including all copies|any form whatsoever|a record copy; P04=if required to; P03=Notwithstanding anything,None,No divergence,Low,4,"In Point 6, the contract discusses copies in return/destruction contexts but does not directly permit creating copies of Confidential Information in some circumstances. But permission to destroy a copy should automatically mean permission to create. Needs review."
87,nda-8,Entailment,"(a) In the event that any governmental authority issues an order, subpoena, or other lawful process or a Participating Entity receives a discovery request in a civil proceeding (""Legal Process"") requiring the disclosure of any Confidential Information, the Participating Entity receiving such Legal Process shall notify in writing the other Participating Entities within five (5) business days of receipt.
---
Upon receipt of a Freedom of Information Act or public records disclosure request, such Participating Entity shall:
---
(i) notify each Participating Entity or Participating Entities whose information is subject to such disclosure request immediately upon receipt of a request for public records that include all or part of the Confidential Information; and",P04,"P01, P05, P06, P09","P04=In the event that |request|Upon receipt; P01=shall notify|shall; P05=within five (5) business days|immediately upon receipt; P06=(""Legal Process"")",Multi-span,No divergence,High,5,The notice obligation is triggered by legal process or a public records request. The evidence is multi-span because it includes separate compelled-disclosure notification situations.
87,nda-13,Entailment,"Notwithstanding Sections 1 and 2, a Participating Entity shall not have breached any obligation under this Agreement if the Confidential Information is disclosed to a third party when the Confidential Information:
---
(f) after the time of its disclosure hereunder, becomes subsequently available to such Participating Entity on a non-confidential basis from a source not known by such Participating Entity to be bound by a confidentiality agreement or secrecy obligation in respect thereof.",P03,"P02, P07, P05, P08, P09",P02=shall not have; P03=Notwithstanding ; P07=third party|source not known; P08=any|under this|non-confidential basis; P05=after the time of its disclosure,Multi-span,No divergence,Medium,6,The clause creates an exception for information that later becomes available from a non-confidential third-party source not known to be bound by secrecy obligations.
87,nda-5,Entailment,"Notwithstanding the forgoing, a Participating Entity may use and internally share Confidential Information as deemed necessary to respond to an actual or threatened cyber emergency that places, or has the potential to place, the Participating Entity’s cyber systems at risk.",P01,"P03, P08",P01=may use|share; P03=Notwithstanding; P08=as deemed necessary,Single-span,Possible divergence,Medium,3,"The clause permits internal sharing in a cyber emergency. It supports employee/internal sharing, but because employees are not named expressly, the role-scope interpretation should be noted."
87,nda-4,Entailment,"Each Participating
---
Entity agrees
---
(iii) to use such information only for the express purpose of developing and implementing a Cyber Mutual Assistance Program, including in connection with any request for or provision of cyber mutual assistance between Participating Entities.
---
Each Participating
---
Entity shall use the Confidential Information received hereunder only for the purposes identified in Section 1.
---
Any other use shall be only with the prior written consent of the Participating Entity or Participating Entities that provided the Confidential Information sought to be used.",P08,"P01, P04, P09",P08=only for the express purpose|only for the purposes|Any other|including; P01=shall use; P04=only with the prior,Multi-span,No divergence,Medium,4,The evidence limits use to the Cyber Mutual Assistance purpose and requires prior written consent for any other use. Multiple spans reinforce the limited-use rule.
88,nda-11,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address reverse engineering. This should not be inferred from general confidentiality obligations.
88,nda-16,NotMentioned,N/A,P10,"P01, P04, P08","P01=shall return; P04=Upon the request; P08=all originals, copies, reproductions and summaries",None,No divergence,High,4,"The contract contains a return/destruction obligation triggered by the Disclosing Party's request, but it does not directly state return or destruction upon termination."
88,nda-15,Entailment,"5. No Further Rights All Confidential Information is and shall remain the property of Disclosing Party.
---
Nothing contained in this Agreement shall be construed to as granting or conferring any rights in the Confidential Information except as provided herein.",P01,"P02, P03, P08, P09",P01=shall remain|granting or conferring; P02=Nothing contained; P03=except as provided herein; P08=All Confidential Information|any rights,Multi-span,No divergence,High,5,"The evidence combines ownership language with a no-rights clause. The exception wording is limited, but the selected spans support the no-licensing/no-rights hypothesis."
88,nda-10,Entailment,"The existence of any business negotiations, discussions, consultations, or agreements in progress between the parties shall not be released to any form of public media, unless agreed between the parties in writing.",P03,"P01, P02, P08",P03=unless agreed; P01=shall not be released; P02=shall not; P08=any business negotiations|public media,Single-span,No divergence,High,4,"The clause prohibits public release of the existence of negotiations or agreements unless the parties agree in writing, so the difficulty is the carve-out to a prohibition."
88,nda-2,Contradiction,"Confidential Information includes, without limitation, non-public information relating to released or unreleased Disclosing Party software products, the marketing or promotion of any Disclosing Party product, Disclosing Party’s business policies or practices, financial information, technical information, computer systems, infrastructure designs, data, analysis, compilations, studies or other documentation and information received from others that Disclosing Party is obligated to treat as confidential.",P06,P08,P06=Confidential Information includes; P08=without limitation|technical information|financial information,Single-span,No divergence,High,2,The definition is broad and includes non-technical categories as well as technical information. This contradicts a technical-only understanding of Confidential Information.
88,nda-1,Contradiction,"1. Confidential Information “Confidential Information” means nonpublic information that disclosing party (“Disclosing Party”) designates as being confidential or which, under the circumstances surrounding disclosure the receiving party (“Receiving Party”) should know is treated as confidential by the Disclosing Party.",P06,P08,P06=Confidential Information|means; P08=nonpublic information|or which|should know,Single-span,No divergence,High,2,The definition does not require express confidential marking only; it also covers information that should be understood as confidential from the circumstances.
88,nda-19,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly state that confidentiality obligations survive termination.
88,nda-12,Entailment,"Confidential Information shall not include any information that:
---
(iv) is independently developed by Receiving Party without access to the Disclosing Party’s information, or",P06,"P08, P09",P06=shall not include; P08=independently developed|without access,Multi-span,No divergence,High,3,The evidence uses a definition-style exclusion for independently developed information. The heading and the specific exclusion item work together.
88,nda-20,Contradiction,"Upon the request of the Disclosing Party, Receiving Party shall return all originals, copies, reproductions and summaries of Confidential Information at Disclosing Party’s request, or at Disclosing Party’s option, certify destruction of the same.",P04,"P01, P08","P04=Upon the request|at Disclosing Party’s request; P01=shall return|certify destruction; P08=all originals, copies, reproductions and summaries",Single-span,No divergence,High,3,The return/destruction duty is triggered by the Disclosing Party's request. This contradicts a permission to retain Confidential Information after return or destruction.
88,nda-3,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not clearly state that Confidential Information includes verbally conveyed information.
88,nda-18,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address solicitation of the Disclosing Party's representatives.
88,nda-7,NotMentioned,N/A,P10,"P03, P07, P08","P03=except to the extent necessary; P07=employees|any person, firm, or business; P08=only to those employees|need to know",None,Possible divergence,Medium,4,"The contract has related disclosure language involving employees and disclosure to any person, firm, or business where necessary for the transaction. Because that could be read as third-party sharing, the NotMentioned label is review-worthy."
88,nda-17,NotMentioned,N/A,P10,P08,"P08=all originals, copies, reproductions and summaries",None,No divergence,Medium,2,"The contract mentions copies in a return/destruction context, but it does not directly permit the Receiving Party to create copies of Confidential Information."
88,nda-8,Entailment,"Confidential Information shall not include any information that:
---
(v) the Confidential Information is required to be disclosed pursuant to a requirement of a governmental agency or law so long as the other party is provided notice of such requirement prior to any such disclosure.",P04,"P05, P06, P09",P04=required to be disclosed; P05=prior to any such disclosure; P06=shall not include,Multi-span,No divergence,High,4,"The disclosure is allowed only when legally required, with notice required before disclosure. The definition heading and legally required disclosure item must be read together."
88,nda-13,Entailment,"Confidential Information shall not include any information that:
---
(iii) became known to Receiving Party from a source other than Disclosing Party other than by the breach of an obligation of confidentiality owed to Disclosing Party;
---
The parties expressly agree that the provision of Information hereunder and discussions held in connection with the Transaction shall not prevent either party from pursuing similar discussions with third parties or obligate either party to continue discussions with the other or to take, continue or forego any action relating to the Transaction.",P06,"P07, P08, P09",P06=shall not include; P07=third parties; P08=source other than Disclosing Party|other than by the breach,Multi-span,No divergence,High,4,"The answer depends on a definition-style exclusion for information received from another source without breach of confidentiality, plus related third-party discussion language."
88,nda-5,Entailment,"The Receiving Party agrees disclose Confidential Information only to those employees who need to know such information and certifies that such employees have previously agreed, either as a condition to employment or in order to obtain the Confidential Information, to be bound by terms and conditions substantially similar to those of this Agreement.",P07,"P01, P08",P07=employees; P01=agrees disclose; P08=only to those employees|need to know,Single-span,No divergence,High,3,"The clause permits disclosure only to employees who need to know and are bound by similar confidentiality terms, making the role limitation central."
88,nda-4,Entailment,"Each party agrees that it shall not make use of, disseminate, or in any way disclose any Confidential Information of the Disclosing Party to any person, firm, or business, except to the extent necessary for the Transaction.",P03,"P01, P02, P08","P03=except to the extent necessary; P01=shall not make use; P02=shall not; P08=any Confidential Information|any person, firm, or business",Single-span,No divergence,High,4,The clause creates a limited-use rule by prohibiting use or disclosure except to the extent necessary for the transaction.
89,nda-11,NotMentioned,N/A,P10,,,None,No divergence,High,1,The agreement does not directly address reverse engineering.
89,nda-16,Entailment,"2. Upon the termination of this Agreement for any reason, the confidentiality provisions set forth herein shall continue to apply to the Data shared with Data Recipient pursuant to this Agreement.
---
Except as provided in paragraph
---
(3) of this subsection, upon termination of this Agreement, for any reason, Data Recipient shall return or destroy the Data provided by DOHMH that Data Recipient maintains in any form, and all copies of the Data in all its forms.
---
3. In the event that Data Recipient determines that returning or destroying all of the Data, and all copies of the Data, is infeasible, Data Recipient shall provide to DOHMH notification of the conditions that make return or destruction infeasible.
---
Upon receipt by DOHMH of such notification that return or destruction of the Data is infeasible, Data Recipient shall extend the protections of this Agreement to such Data and limit further uses and disclosures of such Data to those purposes that make the return or destruction infeasible, for so long as Data Recipient maintains such Data.",P05,"P01, P03, P04, P08, P09",P05=Upon the termination|upon termination; P01=shall return or destroy|shall continue to apply; P03=Except as provided; P04=In the event that|Upon receipt; P08=any form|all copies,Multi-span,No divergence,High,6,"The return/destroy obligation is tied to termination, but the evidence also includes an infeasibility exception and continuing protection if data cannot be returned or destroyed."
89,nda-15,Entailment,"The Data Recipient hereby acknowledges that the DOHMH is the exclusive owner of the Data and all trade secrets and other rights therein.
---
No license or conveyance of any such rights is granted or implied under this Agreement.",P01,"P02, P08, P09",P01=exclusive owner|is granted; P02=No license; P08=all trade secrets and other rights|any such rights,Multi-span,No divergence,High,4,"The evidence combines ownership language with an express no-license/no-conveyance clause, supporting the no-licensing hypothesis."
89,nda-10,NotMentioned,N/A,P10,,,None,No divergence,High,1,The agreement does not directly require confidentiality about the existence or negotiation of the agreement.
89,nda-2,NotMentioned,N/A,P10,,,None,No divergence,High,1,The agreement does not directly address whether Confidential Information excludes non-technical information.
89,nda-1,NotMentioned,N/A,P10,,,None,No divergence,High,1,The agreement does not directly require information to be expressly identified or marked as confidential.
89,nda-19,Entailment,"2. Upon the termination of this Agreement for any reason, the confidentiality provisions set forth herein shall continue to apply to the Data shared with Data Recipient pursuant to this Agreement.
---
Upon the Expiration of this Agreement, only the continued use of Data for the purposes set forth in Attachment B will cease.
---
All other provisions of this Agreement, including this Section V, shall survive.",P05,"P01, P08, P09",P05=Upon the termination|Upon the Expiration|shall survive; P01=shall continue to apply|shall survive; P08=All other provisions,Multi-span,No divergence,High,4,The evidence directly states that confidentiality provisions continue after termination and that other provisions survive expiration.
89,nda-12,NotMentioned,N/A,P10,,,None,No divergence,High,1,The agreement does not directly create an independent-development permission or exclusion.
